Sámegillii	På norsk
Artikkel i boka Samisk skolehistorie 2 .	Artihkal girjjis Sámi skuvlahistorjá 2 .
Davvi Girji 2007 .	Davvi Girji 2007 .
Bjørn Aarseth :	Bjørn Aarseth :
Forsøk med reindriftsfag i skolen	Geahččaleapmi boazodoallofágain skuvllas
	Sámás : Sara Ellen J. Eira
Bjørn Aarseth med elever på skitur - på 1950-tallet .	Bjørn Aarseth čuoiganmátkkis ohppiiguin 1950-logus .
( Foto : Trygve Madsen )	( Govva : Trygve Madsen )
Bjørn Aarseth var da denne artikkelen blei skrevet rektor ved Karasjok ungdomsskole .	Bjørn Aarseth lei Kárášjoga nuoraidskuvlla rektor go dát artihkal čállojuvvui .
Han var ei drivkraft bak opprettinga av reindriftslinja ved den linjedelte ungdomsskolen og underviste sjøl på denne , blant annet på praktiske fjellkurs .	Son lei okta sis , geat jođihedje barggu álggahit boazodoallosuorggi suorgejuhkkojuvvon nuoraidskuvlii , ja ieš maid oahpahii doppe , earret eará praktihkalaš meahcástankurssas .
For øvrig er han grundigere presentert i Samisk skolehistorie 1 .	Su birra lea muđui dárkileappot muitaluvvon girjjis Sámi skuvlahistorjjá 1 .
I de åra Karasjok ungdomsskole hadde reindriftslinje var dette den eneste utdanninga i reindrift i landet .	Daid jagiid go Kárášjoga nuoraidskuvllas lei boazodoallosuorgi , de lei dát áidna oahppu boazodoalus riikkas .
De erfaringene som blei gjort her , et tiår før reindriftsskolen blei starta , er derfor en viktig del av reindriftsutdanningas historie .	Dat vásáhusat maid dahke doppe , logenár jagi ovdal boazodoalloskuvlla álggaheami , leat dehálaš oasit boazodoallooahpu historjjás .
Den artikkelen som trykkes her , er tidligere trykt i Sámi Ællin / Sameliv , 1961–63 .	Dát artihkal mii dás deaddiluvvo , lea ovdal deaddiluvvon Sámi Ællin / Sameliv girjjážis jagiin 1961–1963 .
Vi viser også til Niillas A. Sombys artikkel i Samisk skolehistorie 1 , der han forteller om sine erfaringer som elev på reindriftslinja .	Muđui čujuhit Niillas A. Somby artihkkalii Sámi skuvlahistorjjá vuosttaš girjjis , mas son muitala iežas vásáhusaid go lei oahppin boazodoallosuorggis .
Undervisning i reindriftsfag er noe nytt her i landet .	Oahpahus boazodoallofágas lea ođas Norggas .
Noen korte kurs har vært holdt i Kautokeino .	Soames oanehit kurssat leat dollon Guovdageainnus .
Samekomitéen av 1956 pekte på at yrkesopplæringen innen reindriften må komme i fastere former .	Sámelávdegoddi ásahuvvon 1956:s oaivvildii ahte oahpahus boazodoalus ferte šaddat čavgadit hámis .
Landbruksdepartementet er i prinsippet enig med komiteen og antar at spørsmålet best kan løses i forbindelse med innføringen av 9-årig skole . ( St.meld. nr. 21 , 1962/63 . )	Eanandoallodepartemeanta lea prinsihpalaččat ovttaoaivilis lávdegottiin ja jáhkká ahte lea buoremus dan čoavdit 9-jagi vuođđoskuvlla álggaheami oktavuođas ( Stuoradiggedieđáhus nr. 21,1962/63 ) .
